SNMP_Host
192.168.102.240
192.168.104.240
192.168.105.240
192.168.106.240
192.168.107.240
192.168.108.245
192.168.109.243
192.168.110.240
192.168.111.241
192.168.124.245
192.168.125.241
192.168.125.247
192.168.125.248
192.168.128.241
192.168.129.240
192.168.130.240
192.168.131.240
192.168.132.240
192.168.135.240
192.168.142.244
192.168.142.245
192.168.142.249
192.168.142.250
192.168.147.242
192.168.147.246
192.168.148.240
192.168.170.242
192.168.170.247
192.168.196.240
192.168.198.240
10.90.3.1
10.90.3.10
10.90.3.100
10.90.3.101
